id,descripcion,tipo,clasificacion,tipo_red,seccion_completa,jurisdiccion,geojson,geom
18558775,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.5500739928591,-34.554124141149],[-58.5500892484707,-34.5541370093734],[-58.5506625400639,-34.5546205811555],[-58.5505099062268,-34.5550490243328],[-58.5502988283611,-34.5551979762451],[-58.5505157231546,-34.5557881653599],[-58.5537448922307,-34.5584239517048],[-58.5545645221641,-34.5589521893694],[-58.5550583685065,-34.559662287921],[-58.5555071782851,-34.560902407522],[-58.5543268354906,-34.5616875315411],[-58.5542265991783,-34.5615954391295],[-58.5541878304544,-34.5615604585023]]}",0102000020E61000000D000000E5DA18D368464DC05914348AED4641C00E08125369464DC0836126F6ED4641C07B5A301C7C464DC02CE0A4CEFD4641C020AFCD1B77464DC0D597AFD80B4741C0416B273170464DC093632FBA104741C0FC70994C77464DC0C2DC0C11244741C09A3AD51CE1464DC002F0A06F7A4741C0C11B63F8FB464DC045AFCEBE8B4741C0A50D12270C474DC06EB68B03A34741C0C7B6F5DB1A474DC0FF466CA6CB4741C015DD862EF4464DC019458560E54741C0A305AFE5F0464DC07452FE5BE24741C044D277A0EF464DC03AFF8D36E14741C0
18558777,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,GRALSANMARTIN                 ,"{""type"":""LineString"",""coordinates"":[[-58.550267287666,-34.5544025753732],[-58.5502825161534,-34.5544154656141],[-58.550536264852,-34.5546302518504],[-58.5504146145497,-34.5550047331938],[-58.5501717148786,-34.5551680305606],[-58.5504568501854,-34.5558473375912],[-58.5536625036462,-34.5584926406799],[-58.5545050691158,-34.5590284168985],[-58.5549646002894,-34.5596835683065],[-58.5553792973555,-34.5608878578889],[-58.5543574942569,-34.5616006765481],[-58.5542862840951,-34.5615326361414],[-58.5542614262267,-34.5615068642502]]}",0102000020E61000000D000000C94A92286F464DC0DF05E1A9F64641C03F3851A86F464DC0C89A0216F74641C09166EAF877464DC0EE88C41FFE4641C09E5D70FC73464DC0A81825650A4741C0404BD9066C464DC07285FBBE0F4741C0E8B3BC5E75464DC0ED426C01264741C04B17B569DE464DC06A63D5AF7C4741C0C6A8A805FA464DC08B0E403E8E4741C024577C1409474DC016FE0EB6A34741C0348237AB16474DC09E2D5F2CCB4741C01B10B62FF5464DC0BC97ED87E24741C0AB675BDAF2464DC09BEE294DE04741C0008AD509F2464DC08C37F974DF4741C0
18573188,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7366854073087,-34.6735385212931],[-58.7367008373277,-34.6735257768053],[-58.7367238869197,-34.6735067388459],[-58.7398310370159,-34.6709400327526],[-58.739827365695,-34.6709009384865],[-58.7388104151837,-34.6701116612206],[-58.7388109553,-34.6700760295662],[-58.7425358179205,-34.6668900897474],[-58.7426013815993,-34.6668966803225],[-58.7433387724287,-34.6675174801342],[-58.7433380497336,-34.6675617291143],[-58.7432765276513,-34.6676178715448],[-58.7432171198284,-34.6676137132119],[-58.7431001279446,-34.6675263027884],[-58.7430625485627,-34.6675188805989],[-58.7430156215741,-34.6675489147138],[-58.7430099426815,-34.6675769243833],[-58.7430602560788,-34.6676193936251],[-58.7430661739017,-34.6676248187127]]}",0102000020E6100000130000006BEA19B54B5E4DC067C6A082365641C00EA189364C5E4DC02A32B817365641C04240E4F74C5E4DC0477D0478355641C043468EC8B25E4DC0F91FED5CE15541C0402CC2A9B25E4DC0DDD3FA14E05541C03894F556915E4DC02FCE0A38C65541C053787D5B915E4DC0FE68240DC55541C0E509E7690B5F4DC0F3BE8AA75C5541C07EF7E38F0D5F4DC0E8E5D3DE5C5541C00CB792B9255F4DC0A0577936715541C038BD82B3255F4DC0B14DA9A9725541C0CF126DAF235F4DC04A419E80745541C0C5BE13BD215F4DC0974DBC5D745541C07796ADE71D5F4DC00FD97B80715541C0CB7A70AC1C5F4DC044D13842715541C0F789C9221B5F4DC090962A3E725541C0C03526F31A5F4DC02AE52029735541C06D6835991C5F4DC0C1E5628D745541C0F4D5D9CA1C5F4DC03D2FE5BA745541C0
18573189,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.736640599446,-34.673499141274],[-58.7366559775913,-34.6734863540709],[-58.7366699367156,-34.6734747468099],[-58.7397596215252,-34.6709225566084],[-58.7387446062015,-34.6701347804343],[-58.7387458333832,-34.6700538270568],[-58.7425325340679,-34.6668408483041],[-58.7426343473541,-34.6668455773299],[-58.7434100453626,-34.6674880712602],[-58.7434116124426,-34.6675533095542],[-58.7428205070064,-34.6680403590524],[-58.7426158080288,-34.6680792593878],[-58.7425804855973,-34.668049744327],[-58.7425599182099,-34.668032420273]]}",0102000020E61000000E00000066C3393D4A5E4DC0FAD34838355641C028143ABE4A5E4DC0B68404CD345641C0ED1153334B5E4DC07F1DA66B345641C011AD7A71B05E4DC0116453CAE05541C0ABDDE92E8F5E4DC052F0FAF9C65541C0F33735398F5E4DC063E2E452C45541C0D1045B4E0B5F4DC02C8D790A5B5541C0D6626DA40E5F4DC0980E25325B5541C0D62C740F285F4DC02E44C63F705541C02874991C285F4DC0926F0863725541C0FC310CBE145F4DC0E144B358825541C0FC7CE8080E5F4DC0721A059F835541C0E8249AE00C5F4DC026FE6DA7825541C0180412340C5F4DC0C5DE1A16825541C0
18598915,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 350mm2 Pb Yute,HURLINGHAM                    ,"{""type"":""LineString"",""coordinates"":[[-58.6224994439103,-34.5932979344254],[-58.6224841402521,-34.5932850990018],[-58.6167475801772,-34.5883707153925],[-58.6157467975792,-34.5884454990156],[-58.6120159468623,-34.589868494271],[-58.6110294054727,-34.5899521975479],[-58.6099864442985,-34.5895853152722],[-58.609031018233,-34.5890810990073],[-58.6081485679251,-34.5892173994543],[-58.6073140784551,-34.5888451606632],[-58.6068597081995,-34.588077285082],[-58.6046436467913,-34.5853831392621],[-58.6030983759162,-34.5835033522658],[-58.6011710414414,-34.5814173898496],[-58.5988724464568,-34.5783165564685],[-58.5965304783032,-34.5752964656828],[-58.5956812685005,-34.5744052079584],[-58.59337347223,-34.5723411892801],[-58.593354746941,-34.5720851836631],[-58.5944023585972,-34.5713095563865],[-58.5951409069683,-34.5715800142921],[-58.5951542963612,-34.5715716001873],[-58.5952132891583,-34.5715329539446]]}",0102000020E610000017000000C1AFD00FAE4F4DC01992CC2FF14B41C0AA54708FAD4F4DC05DB520C4F04B41C0CC5FAF95F14E4DC077444ABB4F4B41C0101C83CAD04E4DC00EE09E2E524B41C0B933DE89564E4DC0DDEA91CF804B41C02AB32836364E4DC0F655B98D834B41C0F7A12A09144E4DC0E4A51788774B41C0BBC778BAF44D4DC0C6766B02674B41C07F2CF1CFD74D4DC0F271CA796B4B41C0B5AEBC77BC4D4DC067BA39475F4B41C012FD3394AD4D4DC04679D11D464B41C0FC5988F6644D4DC06061AFD5ED4A41C0566ADC53324D4DC0498BE33CB04A41C07E25352CF34C4DC0645D91E26B4A41C0EF0032DAA74C4DC03B62E446064A41C095B0571C5B4C4DC051CE8850A34941C05386A7483F4C4DC0AC6A1F1C864941C060C574A9F34B4DC0480EE179424941C0D684600CF34B4DC0FA2D59163A4941C08E6B6160154C4DC04549EAAB204941C06BF8C5932D4C4DC04137AE88294941C0007917042E4C4DC038101942294941C02F8AF5F22F4C4DC0A3E3E8FD274941C0
18628053,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MALVINASARGENTINAS            ,"{""type"":""LineString"",""coordinates"":[[-58.7449545649438,-34.4734218168632],[-58.7449360346078,-34.4734123595733],[-58.739050729414,-34.4704084375239],[-58.7388830454585,-34.4702030989224],[-58.7402558947873,-34.4684510881128],[-58.7402378994821,-34.4683963204388],[-58.7397631040569,-34.4681443250962],[-58.7396558701029,-34.4681606656958],[-58.7396435554305,-34.468177523819],[-58.7396370462653,-34.4681852807107]]}",0102000020E61000000A00000047B8D2AB5A5F4DC0F1510A16993C41C04B2061105A5F4DC0D6F1B4C6983C41C07F75DC36995E4DC0BD76FB57363C41C01BE839B8935E4DC0BC2C7A9D2F3C41C02C6485B4C05E4DC0259C8B34F63B41C085C4901DC05E4DC0F5EC1E69F43B41C0215BB18EB05E4DC0560C3B27EC3B41C07131260BAD5E4DC0EC374EB0EC3B41C0B8A2D8A3AC5E4DC02AC3B83DED3B41C0474F3E6DAC5E4DC07A8FCA7EED3B41C0
18628054,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MALVINASARGENTINAS            ,"{""type"":""LineString"",""coordinates"":[[-58.7397030215767,-34.4682202886178],[-58.7397092108172,-34.4682130141419],[-58.7397139881954,-34.4682076466626],[-58.7397529411718,-34.4682036415852],[-58.7401896708365,-34.4684367404682],[-58.7388047201877,-34.4702037151582],[-58.739004510705,-34.4704483703401],[-58.7426876886549,-34.4723283622363],[-58.7427062184904,-34.4723378198671]]}",0102000020E6100000090000004C36AF96AE5E4DC0F37775A4EE3B41C042819ACAAE5E4DC08DA66F67EE3B41C0ADD8ADF2AE5E4DC09513693AEE3B41C0F5B97039B05E4DC0FE3CD018EE3B41C0378AFE88BE5E4DC0214730BCF53B41C016AB2F27915E4DC0FC87A5A22F3C41C08D8926B3975E4DC09688F6A6373C41C00EF5E263105F4DC0A1637A41753C41C0E17953FF105F4DC01B7FD090753C41C0
18628334,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 400mm2 Pb PVC,MALVINASARGENTINAS            ,"{""type"":""LineString"",""coordinates"":[[-58.7449545649438,-34.4734218168632],[-58.7449730952731,-34.4734312741592],[-58.746803323767,-34.4743653405062],[-58.7477131414439,-34.4754736057588],[-58.7488178344015,-34.4749311832284],[-58.748843271778,-34.4749192405789]]}",0102000020E61000000600000047B8D2AB5A5F4DC0F1510A16993C41C08C4C44475B5F4DC06EB55F65993C41C0CD0F5640975F4DC044EAE300B83C41C039A57010B55F4DC0356CB151DC3C41C041B54643D95F4DC084E8858BCA3C41C0DB0EA918DA5F4DC087435727CA3C41C0
18646905,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7407785633489,-34.7226859585654],[-58.7407562935309,-34.722667843189],[-58.7405955034778,-34.7225029477649],[-58.7406265236181,-34.7223351682234],[-58.7409596867607,-34.7221105286039],[-58.7417589350199,-34.721495692942],[-58.7417592430489,-34.7214753636488],[-58.737767231602,-34.7163735480992],[-58.7377553683845,-34.7163584166051]]}",0102000020E610000009000000A694FBD4D15E4DC092A836F9805C41C0BC822B1AD15E4DC00B2F4061805C41C03A805DD5CB5E4DC0F3F401FA7A5C41C0B4BE94D9CC5E4DC09322927A755C41C055255BC4D75E4DC0C039281E6E5C41C08EB6EFF4F15E4DC000B28AF8595C41C0463385F7F15E4DC0EADE014E595C41C048E519286F5E4DC01967E020B25B41C075D495C46E5E4DC045C4F1A1B15B41C0
18646907,CAT - XLPE,CATXL,C,AT Geografico,CAT Unipolar 500mm2 Pb PVC,MERLO                         ,"{""type"":""LineString"",""coordinates"":[[-58.7411422103455,-34.7224133042481],[-58.7411224034256,-34.7223946619745],[-58.7410174710958,-34.7221929422233],[-58.7410229631249,-34.7221357623152],[-58.7418240734504,-34.721519493628],[-58.7418249790464,-34.7214597230139],[-58.7378222258564,-34.7163442214907],[-58.7378103828153,-34.7163290792776]]}",0102000020E6100000080000003F8F79BFDD5E4DC070F8050A785C41C0E2855219DD5E4DC029FEA36D775C41C07B0F16A9D95E4DC026207ED1705C41C06D1A28D7D95E4DC03835D5F16E5C41C0756D5B17F45E4DC0874732C05A5C41C0202EF41EF45E4DC0E6DCCDCA585C41C05D286DF5705E4DC09BFDDD2AB15B41C0A76B1492705E4DC0EC55D8ABB05B41C0
