id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18574285,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7424534211409,-34.6673842380977]}",0101000020E61000003F4DB5B6085F4DC06F3FC2D86C5541C0
18578487,Entrada AT,TEAT,S,AT Geografico,MALVINASARGENTINAS                                                                                                                                             ,"{""type"":""Point"",""coordinates"":[-58.7257685164723,-34.5084409909777]}",0101000020E61000007E5B95FBE55C4DC0F5182A98144141C0
18578488,Entrada AT,TEAT,S,AT Geografico,MALVINASARGENTINAS                                                                                                                                             ,"{""type"":""Point"",""coordinates"":[-58.7257835646617,-34.5081907549582]}",0101000020E61000001B19D179E65C4DC0625608650C4141C0
18579216,Entrada AT,TEAT,S,AT Geografico,JOSECPAZ                                                                                                                                                       ,"{""type"":""Point"",""coordinates"":[-58.7649007844379,-34.5414800231167]}",0101000020E61000003FECD644E8614DC09C5CA7374F4541C0
18579217,Entrada AT,TEAT,S,AT Geografico,JOSECPAZ                                                                                                                                                       ,"{""type"":""Point"",""coordinates"":[-58.7647699032273,-34.541611510053]}",0101000020E6100000C0A9EDFAE3614DC05268A586534541C0
18581078,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.621696837459,-34.596998201482]}",0101000020E6100000DE7410C3934F4DC06391E36F6A4C41C0
18581079,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6220392055306,-34.5972931180379]}",0101000020E6100000B34A0EFB9E4F4DC09C0CD419744C41C0
18586906,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5636062472601,-34.4912722114861]}",0101000020E6100000DBE6DF3F24484DC016E20002E23E41C0
18641354,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4051516617522,-34.5878315680998]}",0101000020E6100000AA927802DC334DC0C54598103E4B41C0
18586907,Entrada AT,TEAT,S,AT Geografico,SANISIDRO                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5639520264383,-34.4911495338264]}",0101000020E610000061087B942F484DC0789DE8FCDD3E41C0
18595862,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7007644052293,-34.4451412787516]}",0101000020E61000008C54E5A5B2594DC0372BB163FA3841C0
18595863,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.700712207878,-34.4452099090066]}",0101000020E6100000375F08F0B0594DC0EF8467A3FC3841C0
18597474,Entrada AT,TEAT,S,AT Geografico,PILAR                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7819465854228,-34.4626765029544]}",0101000020E61000000FCE61D316644DC08A68D0FB383B41C0
18597475,Entrada AT,TEAT,S,AT Geografico,PILAR                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7819975721907,-34.4626072437398]}",0101000020E6100000210E177F18644DC0A560D3B6363B41C0
18598920,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.59526665093,-34.5715816203165]}",0101000020E6100000621297B2314C4DC083202796294941C0
18598921,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5952132891583,-34.5715329539446]}",0101000020E61000002F8AF5F22F4C4DC0A3E3E8FD274941C0
18598922,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5957961546745,-34.5711843604962]}",0101000020E610000066B4630C434C4DC0B528B2911C4941C0
18598923,Entrada AT,TEAT,S,AT Geografico,3DEFEBRERO                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.5957427928316,-34.5711356943515]}",0101000020E61000000E05C24C414C4DC0B96874F91A4941C0
18599296,Entrada AT,TEAT,S,AT Geografico,SANMIGUEL                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.7378928461102,-34.5603944486058]}",0101000020E61000006CFFD445735E4DC09FCF5A01BB4741C0
18599297,Entrada AT,TEAT,S,AT Geografico,SANMIGUEL                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.7377553727838,-34.5602658058134]}",0101000020E6100000FB469FC46E5E4DC0928438CAB64741C0
18599743,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5670580239506,-34.5289260681836]}",0101000020E6100000B0E6795B95484DC0DB6C72D9B34341C0
18599744,Entrada AT,TEAT,S,AT Geografico,GRALSANMARTIN                                                                                                                                                  ,"{""type"":""Point"",""coordinates"":[-58.5672029133281,-34.5290505765049]}",0101000020E61000005C78E51A9A484DC06002E6EDB74341C0
18604397,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.7015032635743,-34.7260090969645]}",0101000020E6100000668BE3DBCA594DC0CF07B8DDED5C41C0
18604398,Entrada AT,TEAT,S,AT Geografico,MERLO                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.701640154646,-34.7261254761726]}",0101000020E6100000E7E13658CF594DC0167AFAADF15C41C0
18604960,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.6175751320221,-34.4831361786671]}",0101000020E6100000CE6DB1B30C4F4DC0E5710368D73D41C0
18604961,Entrada AT,TEAT,S,AT Geografico,TIGRE                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.6174448273729,-34.4834231808786]}",0101000020E610000050539E6E084F4DC0410090CFE03D41C0
18605764,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5307683792549,-34.6939206247938]}",0101000020E61000004E53DF37F0434DC02CC11A64D25841C0
18605765,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5307168782832,-34.6938830184802]}",0101000020E6100000A8D4D987EE434DC0ACCFA328D15841C0
18605766,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.530574012502,-34.6941879322117]}",0101000020E6100000E1E667D9E9434DC04B107126DB5841C0
18605767,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.530265006909,-34.6939622935045]}",0101000020E6100000917147B9DF434DC025A1A5C1D35841C0
18606389,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5358187166959,-34.6875878384849]}",0101000020E610000094652CB595444DC0C0B5D7E0025841C0
18606390,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5357673715415,-34.687625586433]}",0101000020E61000006E84750694444DC0B0CF7E1D045841C0
18606391,Entrada AT,TEAT,S,AT Geografico,LAMATANZA                                                                                                                                                      ,"{""type"":""Point"",""coordinates"":[-58.5357160263297,-34.6876633343579]}",0101000020E6100000BD83BE5792444DC0E2DC255A055841C0
18608265,Entrada AT,TEAT,S,AT Geografico,PILAR                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.9554988066816,-34.4167582883727]}",0101000020E61000004608EFC84D7A4DC0E772E955583541C0
18608266,Entrada AT,TEAT,S,AT Geografico,PILAR                                                                                                                                                          ,"{""type"":""Point"",""coordinates"":[-58.9554959893727,-34.4167177941699]}",0101000020E610000056E84CB14D7A4DC07ACF3802573541C0
18611300,Entrada AT,TEAT,S,AT Geografico,ESCOBAR                                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7541525754624,-34.3761950789051]}",0101000020E610000013E7531288604DC01C680C29273041C0
18611301,Entrada AT,TEAT,S,AT Geografico,ESCOBAR                                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7540256912338,-34.3763394809137]}",0101000020E6100000B818F2E983604DC0ED5B61E42B3041C0
18617976,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6718554128568,-34.5941585684478]}",0101000020E610000023EEB05BFF554DC08D0F52630D4C41C0
18617977,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6718539945753,-34.5942197512004]}",0101000020E6100000A131CB4FFF554DC07E058F640F4C41C0
